count, time, abs_prox_x, abs_prox_y, abs_prox_z, 
525, 262500, -134.172, 24.886,  0.107, 
525, 262500, -134.506, 26.001, -0.042, 
525, 262500, -134.541, 25.835, -0.113, 
525, 262500, -130.085, 24.388, -0.133, 

526, 263000, -132.500, 22.127,  0.153, 
526, 263000, -134.764, 25.776, -0.229, 
526, 263000, -134.725, 25.006,  0.063, 
526, 263000, -134.770, 26.063, -0.303, 
526, 263000, -134.760, 25.625, -0.370, 
526, 263000, -134.722, 25.511,  0.055, 
526, 263000, -134.461, 23.843,  0.140, 

527, 263500, -132.515, 22.103,  0.049, 
527, 263500, -136.274, 25.031,  0.079, 
527, 263500, -135.078, 24.212, -0.490, 
527, 263500, -124.091,  8.860,  1.185, 
527, 263500, -135.122, 23.664,  0.036, 
527, 263500, -119.032, 17.852,  1.146, 
527, 263500, -134.461, 22.257,  0.047, 
527, 263500, -134.957, 23.566, -0.512, 
527, 263500, -130.085, 24.369, -0.136, 

528, 264000, -136.024, 25.530,  0.032, 
528, 264000, -124.133,  9.053,  1.327, 
528, 264000, -118.962, 18.028,  1.256, 
528, 264000, -135.151, 21.239,  0.234, 
528, 264000, -130.050, 24.445, -0.134, 
528, 264000, -135.287, 22.072, -0.216, 
528, 264000, -134.327, 20.412,  0.358, 
528, 264000, -132.453, 22.227, -0.065, 

529, 264500, -137.406, 24.643, -0.363, 
529, 264500, -132.411, 22.225,  0.122, 
529, 264500, -134.421, 18.356,  0.417, 
529, 264500, -135.964, 25.655,  0.098, 
529, 264500, -139.316, 17.919,  0.625, 

530, 265000, -137.358, 24.375, -0.350, 
530, 265000, -132.383, 22.238, -0.008, 

531, 265500, -132.314, 22.318,  0.122, 

532, 266000, -137.442, 23.972, -0.478, 
532, 266000, -139.539, 22.007,  0.405, 
532, 266000, -132.285, 22.378, -0.042, 

533, 266500, -139.566, 22.060,  0.338, 
533, 266500, -132.390, 22.220,  0.114, 
533, 266500, -137.542, 23.710, -0.471, 
533, 266500, -133.042, 11.440,  0.488, 

534, 267000, -139.552, 21.618,  0.145, 
534, 267000, -132.414, 22.112,  0.156, 
534, 267000, -133.589,  9.881, -0.253, 
534, 267000, -139.143, 17.691,  0.277, 
534, 267000, -137.589, 23.512, -0.610, 
534, 267000, -137.697, 22.696, -0.706, 
534, 267000, -139.641, 22.162,  0.141, 

535, 267500, -139.767, 21.244,  0.071, 
535, 267500, -132.390,  7.677, -0.291, 
535, 267500, -139.610, 21.948,  0.344, 
535, 267500, -137.762, 22.687, -0.512, 
535, 267500, -139.301, 17.805,  0.261, 
535, 267500, -139.655, 21.688, -0.098, 
535, 267500, -133.801,  7.654, -0.288, 

536, 268000, -139.624, 21.653,  0.415, 
536, 268000, -139.191, 17.722,  0.075, 
536, 268000, -136.991,  8.573,  1.161, 
536, 268000, -128.897,  5.975,  1.187, 
536, 268000, -132.252,  6.128, -0.313, 
536, 268000, -138.965,  5.714,  1.444, 
536, 268000, -124.322, 15.508,  1.073, 
536, 268000, -123.409,  9.715,  1.454, 

537, 268500, -128.981,  5.945,  1.156, 
537, 268500, -133.083,  4.454, -0.334, 
537, 268500, -124.375, 15.469,  1.043, 
537, 268500, -123.506,  9.749,  1.404, 
537, 268500, -139.638, 21.763,  0.414, 
537, 268500, -121.404,  4.242,  1.906, 

538, 269000, -123.549,  9.415,  1.137, 
538, 269000, -139.633, 21.838,  0.332, 
538, 269000, -137.247,  8.536,  0.945, 
538, 269000, -139.218, 17.743,  0.464, 

539, 269500, -123.426,  9.774,  1.367, 
539, 269500, -136.951,  8.483,  0.907, 
539, 269500, -139.151, 17.592,  0.374, 
539, 269500, -139.269, 11.834,  0.577, 
539, 269500, -139.623, 19.837, -0.009, 
539, 269500, -130.307, 14.199,  0.301, 

540, 270000, -123.268,  9.909,  1.327, 
540, 270000, -136.738,  8.404,  0.873, 
540, 270000, -139.169, 17.582,  0.065, 
540, 270000, -139.647, 19.794, -0.009, 
540, 270000, -130.445,  2.734,  0.489, 
540, 270000, -138.754,  5.310,  1.169, 
540, 270000, -127.956, 19.266,  0.198, 
540, 270000, -135.804,  4.455,  1.322, 

541, 270500, -123.173,  9.873,  1.173, 
541, 270500, -136.834,  8.400,  0.870, 
541, 270500, -139.083, 17.420,  0.234, 
541, 270500, -130.154,  2.398,  0.226, 
541, 270500, -138.616,  5.202,  1.136, 
541, 270500, -127.966, 19.299,  0.190, 
541, 270500, -135.681,  3.488,  1.095, 
541, 270500, -139.632, 19.695, -0.009, 

542, 271000, -130.285, 14.200,  0.084, 
542, 271000, -136.848,  8.322,  0.816, 
542, 271000, -139.110, 17.544,  0.373, 
542, 271000, -124.288, 15.546,  0.872, 
542, 271000, -139.226, 11.786,  0.505, 
542, 271000, -141.782,  0.920,  1.365, 
542, 271000, -123.276,  9.706,  1.136, 
542, 271000, -129.988,  2.202,  0.480, 

543, 271500, -137.076,  8.413,  0.874, 
543, 271500, -139.132, 17.436,  0.171, 
543, 271500, -124.330, 15.351,  0.974, 

544, 272000, -140.293, 15.434,  0.360, 
544, 272000, -130.359, 14.078,  0.082, 
544, 272000, -139.130, 17.553,  0.256, 

545, 272500, -130.712, 13.807,  0.216, 
545, 272500, -136.060,  8.875, -0.017, 
545, 272500, -140.992, 17.453,  0.314, 
545, 272500, -140.333, 15.602,  0.229, 

546, 273000, -130.809, 13.786,  0.390, 
546, 273000, -136.329,  9.537,  0.094, 
546, 273000, -140.418, 15.794,  0.290, 

547, 273500, -130.757, 13.775,  0.203, 
547, 273500, -131.571,  1.881,  1.142, 
547, 273500, -121.451,  3.347,  1.615, 
547, 273500, -140.418, 15.889,  0.151, 

548, 274000, -130.722, 13.733,  0.063, 
548, 274000, -131.311,  1.738, -0.545, 
548, 274000, -123.045,  3.305,  1.502, 
548, 274000, -140.348, 15.136,  0.224, 
548, 274000, -124.366,  8.586,  1.110, 
548, 274000, -135.809, 10.491, -0.516, 
548, 274000, -130.000,  5.709,  0.872, 
548, 274000, -137.855,  8.610,  0.492, 
548, 274000, -124.549, 14.350,  0.537, 
548, 274000, -144.138,  2.489,  1.424, 

549, 274500, -140.347, 15.140,  0.224, 
